"RELATION,LEFTTERM,RIGHTTERM,COUNT"
"synonym,federal aviation administration,FAA,1017"
"synonym,astrophysics data system,ADS,964"
"synonym,nasa technical reports server,NTRS,523"
"synonym,unmanned aerial vehicles,UAVs,479"
"synonym,unmanned aircraft systems,UAS,406"
"synonym,unmanned aerial vehicle,UAV,367"
"synonym,return to home,RTH,248"
"synonym,designated pilot examiner,DPE,195"
"synonym,airman certification representative,ACR,195"
"synonym,certificated flight instructor,CFI,195"
"synonym,unmanned aerial vehicles,UAV,194"
"synonym,airmen knowledge test report,AKTR,193"
"synonym,unmanned aerial systems,UAS,183"
"synonym,first person view,FPV,162"
"synonym,national airspace system,NAS,159"
"synonym,global positioning system,GPS,145"
"synonym,ready to fly,RTF,144"
"synonym,dtx media,dallas_texas,141"
"synonym,electronic news gathering,ENG,141"
"sibling,mid range,high_end,132"
"ancestor,blade guards,safety_measures,132"
"sibling,smartphone app,remote_control,132"
"sibling,flight battery,remote_controller,123"
"synonym,unmanned aircraft system,UAS,110"
"synonym,ground control station,GCS,96"
"synonym,traffic management,UTM,83"
"synonym,air traffic control,ATC,78"
"synonym,small unmanned aircraft systems,UAS,77"
"synonym,ground control stations,GCS,68"
"synonym,UAV,unmanned_aerial_vehicle,62"
"synonym,unmanned traffic management,UTM,59"
"synonym,unmanned vehicle systems international,AUVSI,57"
"synonym,unmanned aerial system,UAS,50"
"synonym,internet of things,IoT,49"
"synonym,beyond visual line of sight,BVLOS,46"
"synonym,department of defense,DoD,41"
"synonym,department of transportation,CONTINUED,41"
"synonym,artificial intelligence,AI,40"
"synonym,synthetic aperture radar,SAR,40"
"synonym,uas traffic management,UTM,39"
"synonym,initializing weblogic scripting tool,WLST,39"
"synonym,ground control points,GCPs,37"
"synonym,international civil aviation organization,ICAO,37"
"synonym,portable ground control station,GCS,33"
"synonym,certificate of authorization,COA,31"
"synonym,structure from motion,SfM,31"
"synonym,visual line of sight,VLOS,30"
"sibling,interview question,oracle_fusion_middleware,29"
"ancestor,development team,social_media,29"
"synonym,agentless exception monitoring,AEM,28"
"synonym,remotely piloted aircraft,RPA,28"
"synonym,real time strategy,RTS,28"
"synonym,above ground level,AGL,27"
"synonym,optionally piloted aircraft,OPA,27"
"synonym,FAA,federal_aviation_administration,27"
"synonym,standard ground control station,GCS,27"
"synonym,department of transportation,DOT,26"
"synonym,of foreign assets control,OFAC,25"
"synonym,export administration regulations,EAR,25"
"synonym,arms export control act,AECA,25"
"synonym,commercial drone unmanned aerial systems,UAS,25"
"synonym,homeland security,DHS,24"
"synonym,federal aviation agency,FAA,23"
"synonym,UAVs,unmanned_aerial_vehicles,23"
"synonym,unmanned air vehicles,UAVs,22"
"synonym,remotely piloted aircraft systems,RPAS,22"
"synonym,short message service,SMS,21"
"synonym,air traffic management,ATM,20"
"synonym,radio frequency,RF,20"
"synonym,european aviation safety agency,EASA,19"
"synonym,small unmanned aerial systems,UAS,19"
"synonym,particle swarm optimization,PSO,19"
"synonym,defense advanced research projects agency,DARPA,18"
"synonym,intelligent transportation systems,ITS,18"
"synonym,unmanned ground vehicles,UGVs,18"
"synonym,inertial navigation system,INS,17"
"synonym,unmanned air vehicle,UAV,17"
"synonym,FPV,first_person_view,17"
"synonym,field operational test,FOT,16"
"synonym,department of defense,DOD,16"
"synonym,small unmanned aerial vehicles,UAVs,16"
"synonym,weblogic scripting tool,WLST,15"
"synonym,beyond line of sight,BLOS,15"
"synonym,aviation environmental design tool,AEDT,15"
"synonym,unmanned aircraft,UA,15"
"synonym,national airspace,NAS,15"
"synonym,civil aviation authority,CAA,15"
"synonym,global navigation satellite system,GNSS,15"
"synonym,request for information,RFI,15"
"synonym,notification capability,LAANC,15"
"synonym,united states,US,14"
"synonym,small unmanned aerial vehicle,UAV,13"
"synonym,digital elevation models,DEMs,13"
"synonym,electro optical,EO,13"
"synonym,unmanned aerial systems,UASs,13"
"synonym,digital surface models,DSMs,13"
"synonym,commercial off the shelf,COTS,13"
"synonym,service oriented architecture,SOA,13"
"synonym,air traffic management research institute,ATMRI,13"
"synonym,national transportation safety board,NTSB,13"
"synonym,medium altitude long endurance,MALE,12"
"synonym,digital surface model,DSM,12"
"synonym,remote pilot stations,RPS,12"
"synonym,micro air vehicles,MAVs,12"
"synonym,detect and avoid,DAA,12"
"synonym,general accounting office,GAO,12"
"synonym,no fly zones,NFZ,12"
"synonym,humanitarian uav network,UAViators,12"
"synonym,UAS,unmanned_aircraft_system,12"
"synonym,unmanned aircraft systems,UASs,12"
"synonym,temporary flight restrictions,TFRs,12"
"synonym,graphical user interface,GUI,12"
"synonym,high dpi displays,FIX,11"
"synonym,federal aviation authority,FAA,11"
"synonym,border protection,CBP,11"
"synonym,of naval research,ONR,11"
"synonym,integrated noise model,INM,11"
"synonym,geographic information systems,GIS,11"
"synonym,kennedy space center,KSC,11"
"synonym,technical reports server,NTRS,11"
"synonym,longwave infrared,LWIR,11"
"synonym,general aviation,GA,11"
"synonym,lightning imaging sensor,LIS,11"
"synonym,small unmanned aircraft system,UAS,11"
"synonym,line of sight,LOS,11"
"synonym,UAS,unmanned_aerial_systems,11"
"synonym,civil aviation,DGCA,11"
"synonym,aviation rulemaking committee,ARC,10"
"synonym,remotely piloted aircraft system,RPAS,10"
"synonym,robot operating system,ROS,10"
"synonym,civil aviation safety authority,CASA,10"
"synonym,autonomous systems,NIAS,10"
"synonym,congressional research service,CRS,10"
"synonym,root mean square error,RMSE,10"
"synonym,inertial measurement unit,IMU,10"
"synonym,terrestrial laser scanning,TLS,10"
"synonym,digital surface models,DSM,10"
"synonym,uninhabited aerial vehicle,UAV,10"
"ancestor,public safety,disaster_response,10"
"synonym,ground control points,GCP,10"
"synonym,american civil liberties union,ACLU,9"
"synonym,small uas,unmanned_aerial_system,9"
"synonym,proposed rulemaking,NPRM,9"
"synonym,uninhabited aerial vehicles,UAVs,9"
"synonym,digital terrain model,DTM,9"
"synonym,digital elevation model,DEM,9"
"synonym,european union,EU,9"
"synonym,geostationary lightning mapper,GLM,9"
"sibling,geo fencing,low_battery,9"
"synonym,lightning protection system,LPS,9"
"synonym,picture in picture,PIP,9"
"sibling,variable speed control,low_battery,9"
"sibling,dynamic return home,low_battery,9"
"synonym,ground sample distance,GSD,9"
"synonym,small unmanned aircraft systems,SUAS,9"
"sibling,variable speed control,dynamic_return_home,9"
"synonym,information technology,IT,9"
"synonym,joint special operations command,JSOC,9"
"sibling,geo fencing,variable_speed_control,9"
"sibling,geo fencing,dynamic_return_home,9"
"synonym,international space station,ISS,9"
"synonym,of inspector general,OIG,8"
"synonym,aviation safety reporting system,ASRS,8"
"synonym,ground data terminal,GDT,8"
"synonym,remote pilot,UAS,8"
"synonym,and energy,faa_aee,8"
